#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Errors|A_Type|B_Correction|C_Comment|G_Corrected_Types|G_Problem|H_FOUND_ERR|I_Correction_Disagreement|I_Spans_Match|J_Corrected_Type|J_Types_Match


#Text=The Cleveland Cavaliers defeated the Detroit Pistons , 128 - 96 , at Quicken Loans Arena on Saturday evening .
1-1	0-3	The	_	_	_	_	_	_	_	_	_	_	
1-2	4-13	Cleveland	_	_	_	_	_	_	_	_	_	_	
1-3	14-23	Cavaliers	_	_	_	_	_	_	_	_	_	_	
1-4	24-32	defeated	_	_	_	_	_	_	_	_	_	_	
1-5	33-36	the	_	_	_	_	_	_	_	_	_	_	
1-6	37-44	Detroit	_	_	_	_	_	_	_	_	_	_	
1-7	45-52	Pistons	_	_	_	_	_	_	_	_	_	_	
1-8	53-54	,	_	_	_	_	_	_	_	_	_	_	
1-9	55-58	128	_	_	_	_	_	_	_	_	_	_	
1-10	59-60	-	_	_	_	_	_	_	_	_	_	_	
1-11	61-63	96	_	_	_	_	_	_	_	_	_	_	
1-12	64-65	,	_	_	_	_	_	_	_	_	_	_	
1-13	66-68	at	_	_	_	_	_	_	_	_	_	_	
1-14	69-76	Quicken	_	_	_	_	_	_	_	_	_	_	
1-15	77-82	Loans	_	_	_	_	_	_	_	_	_	_	
1-16	83-88	Arena	_	_	_	_	_	_	_	_	_	_	
1-17	89-91	on	_	_	_	_	_	_	_	_	_	_	
1-18	92-100	Saturday	1\_NAME	Tuesday	*	3	*	3	false	2	*	3	
1-19	101-108	evening	_	_	_	_	_	_	_	_	_	_	
1-20	109-110	.	_	_	_	_	_	_	_	_	_	_	

#Text=The Cavaliers ( 44 - 22 ) checked in to Monday 000s contest with only seven road wins in 17 games away from the Barclays Center , but the Cavaliers ( 33 - 34 ) were able to pull away with an impressive road victory against the Pistons ( 33 - 34 ) .
2-1	111-114	The	_	_	_	_	_	_	_	_	_	_	
2-2	115-124	Cavaliers	_	_	_	_	_	_	_	_	_	_	
2-3	125-126	(	_	_	_	_	_	_	_	_	_	_	
2-4	127-129	44	_	_	_	_	_	_	_	_	_	_	
2-5	130-131	-	_	_	_	_	_	_	_	_	_	_	
2-6	132-134	22	_	_	_	_	_	_	_	_	_	_	
2-7	135-136	)	_	_	_	_	_	_	_	_	_	_	
2-8	137-144	checked	_	_	_	_	_	_	_	_	_	_	
2-9	145-147	in	_	_	_	_	_	_	_	_	_	_	
2-10	148-150	to	_	_	_	_	_	_	_	_	_	_	
2-11	151-157	Monday	1\_NAME	Tuesday	*	*	*	2	false	2	*	2	
